model	test_family	family_circuits	family_win_rate	family_d95_rate	family_mean_gain_percent	family_mean_regret_percent
graphsage	iscas89_s13207	1	1.0	1.0	2.704597816287689	201.64596273291923
graphsage	iscas89_s15850	1	0.0	1.0	-2.6064663153396954	181.62627052384676
graphsage	iscas89_s35932	1	0.0	1.0	-225.64784053156149	225.64784053156149
graphsage	iscas89_s38417	1	0.0	1.0	-183.5522858644246	230.90760425183973
graphsage	iscas89_s38584	1	0.0	1.0	-320.5115511551155	368.7821927888153
graphsage	iscas89_s5378	1	0.0	1.0	-10.566037735849058	69.18635170603675
graphsage	iscas89_s9234	1	0.0	1.0	-10.033931168201649	65.45189504373178
graphsage	itc99_b14_connected	4	0.0	1.0	0.0	830.0252194895074
graphsage	iwls_aes_core	1	0.0	1.0	-253.45578711880373	299.5607613469985
graphsage	iwls_spi	1	0.0	1.0	-2.278645833333333	17.951798183046776
graphsage	iwls_tv80	1	1.0	1.0	2.841110156210505	174.7926794395196
graphsage	iwls_wb_dma	1	0.0	1.0	-9.390547263681592	297.5141242937853
xgboost_scalar	iscas89_s13207	1	1.0	1.0	57.99859761594711	30.217391304347824
xgboost_scalar	iscas89_s15850	1	1.0	1.0	47.614299957271044	43.78420641125879
xgboost_scalar	iscas89_s35932	1	0.0	1.0	-80.93023255813954	80.93023255813954
xgboost_scalar	iscas89_s38417	1	0.0	1.0	-30.075319670695393	51.7988552739166
xgboost_scalar	iscas89_s38584	1	0.0	1.0	-18.4983498349835	32.10080941869021
xgboost_scalar	iscas89_s5378	1	1.0	1.0	24.939965694682677	14.855643044619423
xgboost_scalar	iscas89_s9234	1	1.0	1.0	28.74454677653902	7.142857142857142
xgboost_scalar	itc99_b14_connected	4	0.0	1.0	0.0	830.0252194895074
xgboost_scalar	iwls_aes_core	1	0.0	1.0	-5.486871541269281	19.246639158791428
xgboost_scalar	iwls_spi	1	1.0	1.0	4.622395833333334	9.993242735941136
xgboost_scalar	iwls_tv80	1	1.0	1.0	56.25600323542793	23.72033171289677
xgboost_scalar	iwls_wb_dma	1	1.0	1.0	63.38619402985075	33.05084745762712
