model	test_family	test_circuit	candidate_rows	measured_feasible_candidate_rows	mae_cycles	rmse_cycles	oracle_uid	oracle_scheme	oracle_cycles	single_baseline_cycles	single_baseline_scheme	safe_anchor_uid	safe_anchor_scheme	selection_action	selection_reason	selected_action_uid	predicted_best_uid	predicted_best_scheme	predicted_best_actual_cycles	predicted_best_feasible_probability	feasibility_gate_fallback	feasibility_gate_kind	feasibility_gate_identifiable	feasibility_gate_train_rows	feasibility_gate_train_negative_rows	predicted_best_detected_faults	d95	d95_feasible	unsafe_combo_selection	beats_single_baseline	oracle_can_beat_single	opportunity_captured	saved_cycles_vs_single	gain_vs_single_percent	fallback_gain_vs_single_percent	regret_percent	exact_candidate	correct_scheme	validation_family	best_validation_loss
graphsage	iscas89_s15850	s15850	730	730	1299.9301405905044	1368.0519833290011	fixed:76e2985684609b62055c18ea	H64-M16-F4	2558	7021	FullScan-F4	fixed:bf42094d01c9de062d3eb684	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:84db24d00d3abfdb70736c78	fixed:84db24d00d3abfdb70736c78	H64-M16-F4	7204	0.9998956918716431	0	xgboost_classifier	1	10437	1	15273	15267	1	0	0	1	0	-183	-2.6064663153396954	0.0	181.62627052384676	0	1	iscas89_s35932	0.009569576941430569
graphsage	iscas89_s35932	s35932	426	426	924.9524042531935	1224.717915591192	fixed:a77e37ce83c811088324a1ca	H64-F4	1505	1505	ComScan-H64	fixed:8f84fd3c98f7a5408dcfbdbb	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:d237b060e340be618f083e9c	fixed:d237b060e340be618f083e9c	H64-M16-F4	4901	0.9998949766159058	0	xgboost_classifier	1	10741	1	41326	41236	1	0	0	0	0	-3396	-225.64784053156149	0.0	225.64784053156149	0	0	iscas89_s38417	0.010592822916805744
graphsage	iscas89_s38417	s38417	720	720	2353.7586185432556	2712.6948842101815	fixed:84bc635c1eeafd8d8245b030	H64-M16-F4	4892	5709	ComScan-H64	fixed:17e8570041a1a8d8319f0b8c	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:4efffbd47656b94cda432147	fixed:4efffbd47656b94cda432147	H64-M16-F4	16188	0.9998958110809326	0	xgboost_classifier	1	10447	1	40476	40421	1	0	0	1	0	-10479	-183.5522858644246	0.0	230.90760425183973	0	1	iscas89_s38584	0.013839484192430973
graphsage	iscas89_s38584	s38584	721	721	4198.236126563668	4821.060951665185	fixed:7140c3e7d7e9ca3300b1517c	H64-M16-F4	5436	6060	ComScan-H64	fixed:84c3c7bc71b28085819605ae	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:5335e27eca74326132f75dc0	fixed:5335e27eca74326132f75dc0	H64-M16-F4	25483	0.9998956918716431	0	xgboost_classifier	1	10446	1	53004	52938	1	0	0	1	0	-19423	-320.5115511551155	0.0	368.7821927888153	0	1	iscas89_s5378	0.013409189879894257
graphsage	iscas89_s5378	s5378	703	703	463.53159579333675	536.1036301767917	fixed:52a53ce2857438dcfa16e702	H64-M16-F4	1905	2915	FullScan-F4	fixed:e7c1edb976b7c482efeabc6d	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:5621e266691ebbc4281f9740	fixed:5621e266691ebbc4281f9740	H64-M16-F4	3223	0.9998949766159058	0	xgboost_classifier	1	10464	1	5568	5543	1	0	0	1	0	-308	-10.566037735849058	0.0	69.18635170603675	0	1	iscas89_s9234	0.033393099904060364
graphsage	iscas89_s9234	s9234	736	736	838.6814773418009	953.1232101204007	fixed:f4525b035e88d7ea4a71262a	H64-M16-F4	2744	4126	FullScan-F4	fixed:0509ce7b4f947ed973c3afef	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:aea059861a84e097988f8b3e	fixed:aea059861a84e097988f8b3e	H64-M16-F4	4540	0.9998956918716431	0	xgboost_classifier	1	10431	1	7175	7171	1	0	0	1	0	-414	-10.033931168201649	0.0	65.45189504373178	0	1	itc99_b14_connected	0.03262162581086159
graphsage	itc99_b14_connected	b18	757	757	31921.14371601933	38864.37348870328	fixed:e1e452af59b3939dca863bf9	H64-M16-F4	26353	28673	ComScan-H64	fixed:dfe7138bca9da93eea039dd3	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:dfe7138bca9da93eea039dd3		FullScan-F4	399111		1	unidentifiable_single_class	0	7794	0	233760	230387	1	0	0	1	0	0	0.0	0.0	1414.4803248207036	0	0	iwls_aes_core	0.012810870073735714
graphsage	itc99_b14_connected	b20	837	837	1089.3663237462868	1521.0168681021055	fixed:a756b897ff3f2b333c89ebc4	H64-M16-F4	6805	17427	FullScan-F4	fixed:80efcdf332a6a67ed5de9b04	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:80efcdf332a6a67ed5de9b04		FullScan-F4	46065		1	unidentifiable_single_class	0	7794	0	45242	44063	1	0	0	1	0	0	0.0	0.0	576.9287288758266	0	0	iwls_aes_core	0.012810870073735714
graphsage	itc99_b14_connected	b21	900	899	1506.7642665462977	2258.0130247140683	fixed:be7247d28bd3c354a159b9ad	H64-M16-F4	8173	20979	FullScan-F4	fixed:d96a4634cea9802d8b933dee	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:d96a4634cea9802d8b933dee		FullScan-F4	50172		1	unidentifiable_single_class	0	7794	0	46573	45513	1	0	0	1	0	0	0.0	0.0	513.8749541172152	0	0	iwls_aes_core	0.012810870073735714
graphsage	itc99_b14_connected	b22	879	879	1579.0354101921646	2714.4429700530854	fixed:ded28982dc93ecc9ac507e2f	H64-M16-F4	9010	26690	FullScan-F4	fixed:8514e3a45cc54d78d7ce4dd7	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:8514e3a45cc54d78d7ce4dd7		FullScan-F4	82425		1	unidentifiable_single_class	0	7794	0	67751	66124	1	0	0	1	0	0	0.0	0.0	814.8168701442842	0	0	iwls_aes_core	0.012810870073735714
graphsage	iwls_aes_core	aes_core	853	853	3638.84061985614	4216.4512683453995	fixed:5399d3695c6e805b5594bf3d	H64-M16-F4	7513	8493	ComScan-H64	fixed:def91edcb88409f6262815c2	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:01dfe5b8d560365e813a8862	fixed:01dfe5b8d560365e813a8862	H64-M16-F4	30019	0.9831904172897339	0	xgboost_classifier	1	10314	1	67775	67656	1	0	0	1	0	-21526	-253.45578711880373	0.0	299.5607613469985	0	1	iwls_spi	3.1710405349731445
graphsage	iwls_spi	spi	736	736	8443.76323394453	8498.291577380443	fixed:7c7668aae84a4c891671aa93	H64-F4	13319	15360	FullScan-F4	fixed:fc36543ae4e65d82354bd34b	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:d2d9fe5f7aa937855b613de0	fixed:d2d9fe5f7aa937855b613de0	H64-M16-F4	15710	0.9998956918716431	0	xgboost_classifier	1	10431	1	9902	9898	1	0	0	1	0	-350	-2.278645833333333	0.0	17.951798183046776	0	0	iwls_tv80	0.10482127964496613
graphsage	iwls_tv80	tv80	851	851	7757.14539116502	7873.692894036233	fixed:eb29756ad9ac7b3d8d7f9989	H64-M16-F4	6994	19781	FullScan-F4	fixed:076766ae0aa32a58c07cdce0	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:98b2e0a77b09b3b6105534eb	fixed:98b2e0a77b09b3b6105534eb	H64-M16-F4	19219	0.9991239905357361	0	xgboost_classifier	1	10316	1	24264	24254	1	0	1	1	1	562	2.841110156210505	2.841110156210505	174.7926794395196	0	1	iwls_wb_dma	0.00467901024967432
graphsage	iwls_wb_dma	wb_dma	651	651	1551.1616739338626	1599.5455227078428	fixed:e3c6038505f9315b081dcb07	H64-M16-F4	1770	6432	FullScan-F4	fixed:d1631693dcc00120c0163cf9	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:5ca0520090addab57173854f	fixed:5ca0520090addab57173854f	H64-F4	7036	0.9993818998336792	0	xgboost_classifier	1	10516	1	16682	16633	1	0	0	1	0	-604	-9.390547263681592	0.0	297.5141242937853	0	0	iscas89_s13207	0.02092093601822853
