attempt_id	circuit	stage	run_id	run_id_source	mode	wall_s	user_s	system_s	rss_kb	exit	source_log	source_log_sha256	config_key	config_key_source	retry_index	parse_status	duplicate_run_id	ambiguity_reason
attempt_019f17353127ec066262	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h79_m73	filename	M	9.260	5.55	1.28	362544	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h79_m73.driver.log	f42af26db11df6487d0e578ed2841a4dd1a8839191bfb0882fe5e20502ac74e4	M_b20_cov95v2_HMF_refine_h79_m73	run_id	0	PASS		
attempt_eca1ea68255cba399ee4	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h79_m85	filename	M	9.850	5.98	1.41	363732	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h79_m85.driver.log	e401f8337e9046ff76f3ebc2c6f11113b6f9b1fcdb9411974aa84f01cc56a948	M_b20_cov95v2_HMF_refine_h79_m85	run_id	0	PASS		
attempt_9f6f333c11d2a1da9db5	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h79_m86	filename	M	9.720	6.10	1.44	363572	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h79_m86.driver.log	8353280451711ebe0704bac2b9a2955c8619a18e839dae29f3d2b3f9d0945d0e	M_b20_cov95v2_HMF_refine_h79_m86	run_id	0	PASS		
attempt_0ad90ed4e4699f05a48e	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h79_m90	filename	M	9.440	5.71	1.25	363232	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h79_m90.driver.log	8b36a010678da57261925cb545a657583c0ccc84a28c9152d916a3bb1ef63030	M_b20_cov95v2_HMF_refine_h79_m90	run_id	0	PASS		
attempt_2a61d9b9ed8138e69d09	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h79_m92	filename	M	10.030	6.06	1.53	365688	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h79_m92.driver.log	5a864d5b7cb6e7ac68b0874067ddf021dc88fef0a366d57d3a42a8dca6ffc6f8	M_b20_cov95v2_HMF_refine_h79_m92	run_id	0	PASS		
attempt_ee9d483bb3e5d608f9be	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h79_m95	filename	M	9.470	5.65	1.35	363652	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h79_m95.driver.log	0ee6ceeb26a0551daab865d0383ccfc2ae2062e4ae2b9c43d69183e5b9eff1ae	M_b20_cov95v2_HMF_refine_h79_m95	run_id	0	PASS		
attempt_0cae60209a519f7a5716	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h79_m99	filename	M	9.650	5.86	1.30	362520	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h79_m99.driver.log	484ac0e8f7b7e0ba502045f13cfd53d3f87c5f104c3aea0a9c0bfd3efc8fac25	M_b20_cov95v2_HMF_refine_h79_m99	run_id	0	PASS		
attempt_22e3a4c446ec40a39ca2	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h80_m112	filename	M	9.780	5.94	1.41	362500	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h80_m112.driver.log	06adb00b2b632768f33e92a9192b4376ffb4a05caa024d6f98afdb931eb77da4	M_b20_cov95v2_HMF_refine_h80_m112	run_id	0	PASS		
attempt_d41936ddcaf78a7ce779	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h80_m116	filename	M	9.750	5.92	1.41	365360	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h80_m116.driver.log	1b9f33198ea7e804768da4ceaaf951d73663747c6a26809daf47047584d17190	M_b20_cov95v2_HMF_refine_h80_m116	run_id	0	PASS		
attempt_b720b426296c7366d583	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h80_m137	filename	M	10.100	6.59	1.36	363852	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h80_m137.driver.log	70f8bc3fe04cd20ebc39987bb27f2e0de274269a502cd199fc19273ffc54e512	M_b20_cov95v2_HMF_refine_h80_m137	run_id	0	PASS		
attempt_2f9be4f13aee8df0e4ae	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h80_m141	filename	M	10.040	6.52	1.48	363496	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h80_m141.driver.log	3b25d95b6e9a9181c297fb55cdc6dc7a8a7402fc36956334bc2221c3280f8f8c	M_b20_cov95v2_HMF_refine_h80_m141	run_id	0	PASS		
attempt_49a0dea12d7e9a4e3a4a	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h80_m166	filename	M	9.850	6.56	1.30	362796	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h80_m166.driver.log	7e68fcb571a87e881f14921ff0f79414c0b7763307188557aee4e68a786e8e4f	M_b20_cov95v2_HMF_refine_h80_m166	run_id	0	PASS		
attempt_c2ebeecbb99eb1d6e567	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h80_m87	filename	M	9.780	5.69	1.41	362432	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h80_m87.driver.log	3704f6d6484428393af151beabc68ce3fdd556658b1b9a465fe2c2d5cc06fea4	M_b20_cov95v2_HMF_refine_h80_m87	run_id	0	PASS		
attempt_356597911f0f0f137cf2	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m100	filename	M	9.930	6.07	1.40	366340	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m100.driver.log	58f7adb3d298bfdbf971f19fd497be019ff778f47bbdea2a8808b755982fd8d5	M_b20_cov95v2_HMF_refine_h84_m100	run_id	0	PASS		
attempt_7566383cd23fba8a6e94	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m102	filename	M	9.770	6.13	1.29	363192	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m102.driver.log	5b6adc9a0c0fffb622a4d810f718e52abfa2a6b8e083a8c1bc716d885ce6aaca	M_b20_cov95v2_HMF_refine_h84_m102	run_id	0	PASS		
attempt_256ee948d5b004f36dd1	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m105	filename	M	10.070	6.18	1.40	363832	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m105.driver.log	d2b14c2f522373a8df0e7ccc4502ff9af8bec8635412892b1e131766de0ca91e	M_b20_cov95v2_HMF_refine_h84_m105	run_id	0	PASS		
attempt_7a59c1d315a1a90593e9	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m85	filename	M	9.370	5.66	1.28	362340	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m85.driver.log	ef8fff28d7b71fbd15244a7eff583c75a5726afa8d15c34e95fd3a2d729c9b48	M_b20_cov95v2_HMF_refine_h84_m85	run_id	0	PASS		
attempt_8758e0c5be3f6b7961d6	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m88	filename	M	9.480	5.49	1.32	363856	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m88.driver.log	d460a3f35f3a6a60f7408c67c12424edae21a1a9783e075403424fd4965fa788	M_b20_cov95v2_HMF_refine_h84_m88	run_id	0	PASS		
attempt_cf37022f0e3cc0b38e1b	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m90	filename	M	9.540	5.76	1.41	362424	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m90.driver.log	248229f2549310638cbb7353a8a6874b1a61ba3f6424f3973ca43b4d3df6a6b5	M_b20_cov95v2_HMF_refine_h84_m90	run_id	0	PASS		
attempt_968065f0ec05b1f720be	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m92	filename	M	9.650	5.86	1.33	362592	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m92.driver.log	bcb443982a12d114f8041c35a62508c8f1b2bd5541b41c48a69fb754b4518fab	M_b20_cov95v2_HMF_refine_h84_m92	run_id	0	PASS		
attempt_e1c678ab257fda2b1c47	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m94	filename	M	9.850	6.04	1.53	363472	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m94.driver.log	91a5899f83e12c76b6002d6f7f12c2caa44361f5a8ef88348e0b78ff6bf734e4	M_b20_cov95v2_HMF_refine_h84_m94	run_id	0	PASS		
attempt_a219b1a1ff81775c16e5	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m95	filename	M	9.460	5.67	1.22	363188	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m95.driver.log	3e7b17ae432e9a43055289eefe9eedfbcf03b09b09b59916319641aff027aa95	M_b20_cov95v2_HMF_refine_h84_m95	run_id	0	PASS		
attempt_581504b19123bc0b6e5f	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m96	filename	M	9.730	5.88	1.41	363852	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m96.driver.log	19056baa3ed923927309e4b7fa88715380f51580d9add933da8e9b852721b281	M_b20_cov95v2_HMF_refine_h84_m96	run_id	0	PASS		
attempt_4a8f9a551f92fa5f380e	b20	04_integer_refine	M_b20_cov95v2_HMF_refine_h84_m98	filename	M	9.690	6.03	1.40	363096	0	10_circuits/b20/10_coverage95_phase4_v2/04_integer_refine/M_b20_cov95v2_HMF_refine_h84_m98.driver.log	1f645f83db91df6b84853cc6a47a4b4adcdb8d81414f25906780ca723180fdf3	M_b20_cov95v2_HMF_refine_h84_m98	run_id	0	PASS		
