action_uid	circuit	action_scheme	mode_stack	h_patterns	m_patterns	repeat_measurement_count	source_candidate_uids	source_stages	outcome_conflict	outcome_conflict_fields
aes_core:HF:h338	aes_core	HF	H64-F4	338		1	aes_core:hf_refine:H64-F4:5	hf_refine	false	
aes_core:HF:h40	aes_core	HF	H64-F4	40		1	aes_core:hf_coarse:H64-F4:2	hf_coarse	false	
aes_core:HF:h79	aes_core	HF	H64-F4	79		2	aes_core:hf_coarse:H64-F4:3|aes_core:hf_refine:H64-F4:40	hf_coarse|hf_refine	false	
aes_core:HMF:h1:m1	aes_core	HMF	H64-M16-F4	1	1	1	aes_core:hmf_coarse:H64-M16-F4:1	hmf_coarse	false	
aes_core:HMF:h1:m105	aes_core	HMF	H64-M16-F4	1	105	1	aes_core:hmf_coarse:H64-M16-F4:6	hmf_coarse	false	
aes_core:HMF:h1:m125	aes_core	HMF	H64-M16-F4	1	125	1	aes_core:hmf_coarse:H64-M16-F4:7	hmf_coarse	false	
aes_core:HMF:h1:m146	aes_core	HMF	H64-M16-F4	1	146	1	aes_core:hmf_coarse:H64-M16-F4:8	hmf_coarse	false	
aes_core:HMF:h1:m167	aes_core	HMF	H64-M16-F4	1	167	1	aes_core:hmf_coarse:H64-M16-F4:9	hmf_coarse	false	
aes_core:HMF:h1:m188	aes_core	HMF	H64-M16-F4	1	188	1	aes_core:hmf_coarse:H64-M16-F4:10	hmf_coarse	false	
aes_core:HMF:h1:m209	aes_core	HMF	H64-M16-F4	1	209	1	aes_core:hmf_coarse:H64-M16-F4:11	hmf_coarse	false	
aes_core:HMF:h1:m21	aes_core	HMF	H64-M16-F4	1	21	1	aes_core:hmf_coarse:H64-M16-F4:2	hmf_coarse	false	
aes_core:HMF:h1:m42	aes_core	HMF	H64-M16-F4	1	42	1	aes_core:hmf_coarse:H64-M16-F4:3	hmf_coarse	false	
aes_core:HMF:h1:m63	aes_core	HMF	H64-M16-F4	1	63	1	aes_core:hmf_coarse:H64-M16-F4:4	hmf_coarse	false	
aes_core:HMF:h1:m84	aes_core	HMF	H64-M16-F4	1	84	1	aes_core:hmf_coarse:H64-M16-F4:5	hmf_coarse	false	
aes_core:HMF:h109:m105	aes_core	HMF	H64-M16-F4	109	105	1	aes_core:hmf_refine:H64-M16-F4:302	hmf_refine	false	
aes_core:HMF:h109:m111	aes_core	HMF	H64-M16-F4	109	111	1	aes_core:hmf_refine:H64-M16-F4:303	hmf_refine	false	
aes_core:HMF:h109:m99	aes_core	HMF	H64-M16-F4	109	99	1	aes_core:hmf_refine:H64-M16-F4:301	hmf_refine	false	
aes_core:HMF:h119:m1	aes_core	HMF	H64-M16-F4	119	1	1	aes_core:hmf_coarse:H64-M16-F4:64	hmf_coarse	false	
aes_core:HMF:h119:m105	aes_core	HMF	H64-M16-F4	119	105	2	aes_core:hmf_coarse:H64-M16-F4:71|aes_core:hmf_refine:H64-M16-F4:288	hmf_coarse|hmf_refine	false	
aes_core:HMF:h119:m111	aes_core	HMF	H64-M16-F4	119	111	1	aes_core:hmf_refine:H64-M16-F4:305	hmf_refine	false	
aes_core:HMF:h119:m15	aes_core	HMF	H64-M16-F4	119	15	1	aes_core:hmf_coarse:H64-M16-F4:65	hmf_coarse	false	
aes_core:HMF:h119:m30	aes_core	HMF	H64-M16-F4	119	30	1	aes_core:hmf_coarse:H64-M16-F4:66	hmf_coarse	false	
