action_uid	circuit	action_scheme	mode_stack	h_patterns	m_patterns	repeat_measurement_count	source_candidate_uids	source_stages	outcome_conflict	outcome_conflict_fields
b20:HMF:h142:m91	b20	HMF	H64-M16-F4	142	91	1	b20:hmf_refine:H64-M16-F4:267	hmf_refine	false	
b20:HMF:h142:m93	b20	HMF	H64-M16-F4	142	93	1	b20:hmf_refine:H64-M16-F4:268	hmf_refine	false	
b20:HMF:h144:m88	b20	HMF	H64-M16-F4	144	88	1	b20:hmf_refine:H64-M16-F4:274	hmf_refine	false	
b20:HMF:h144:m89	b20	HMF	H64-M16-F4	144	89	1	b20:hmf_refine:H64-M16-F4:275	hmf_refine	false	
b20:HMF:h144:m90	b20	HMF	H64-M16-F4	144	90	1	b20:hmf_refine:H64-M16-F4:276	hmf_refine	false	
b20:HMF:h144:m91	b20	HMF	H64-M16-F4	144	91	1	b20:hmf_refine:H64-M16-F4:258	hmf_refine	false	
b20:HMF:h144:m95	b20	HMF	H64-M16-F4	144	95	1	b20:hmf_refine:H64-M16-F4:259	hmf_refine	false	
b20:HMF:h144:m99	b20	HMF	H64-M16-F4	144	99	1	b20:hmf_refine:H64-M16-F4:260	hmf_refine	false	
b20:HMF:h145:m80	b20	HMF	H64-M16-F4	145	80	1	b20:hmf_refine:H64-M16-F4:296	hmf_refine	false	
b20:HMF:h145:m85	b20	HMF	H64-M16-F4	145	85	1	b20:hmf_refine:H64-M16-F4:297	hmf_refine	false	
b20:HMF:h145:m90	b20	HMF	H64-M16-F4	145	90	1	b20:hmf_refine:H64-M16-F4:298	hmf_refine	false	
b20:HMF:h145:m95	b20	HMF	H64-M16-F4	145	95	1	b20:hmf_refine:H64-M16-F4:299	hmf_refine	false	
b20:HMF:h149:m102	b20	HMF	H64-M16-F4	149	102	1	b20:hmf_refine:H64-M16-F4:252	hmf_refine	false	
b20:HMF:h149:m88	b20	HMF	H64-M16-F4	149	88	1	b20:hmf_refine:H64-M16-F4:250	hmf_refine	false	
b20:HMF:h149:m95	b20	HMF	H64-M16-F4	149	95	1	b20:hmf_refine:H64-M16-F4:251	hmf_refine	false	
b20:HMF:h150:m80	b20	HMF	H64-M16-F4	150	80	1	b20:hmf_refine:H64-M16-F4:301	hmf_refine	false	
b20:HMF:h150:m85	b20	HMF	H64-M16-F4	150	85	1	b20:hmf_refine:H64-M16-F4:302	hmf_refine	false	
b20:HMF:h150:m90	b20	HMF	H64-M16-F4	150	90	1	b20:hmf_refine:H64-M16-F4:303	hmf_refine	false	
b20:HMF:h159:m1	b20	HMF	H64-M16-F4	159	1	1	b20:hmf_coarse:H64-M16-F4:85	hmf_coarse	false	
b20:HMF:h159:m20	b20	HMF	H64-M16-F4	159	20	1	b20:hmf_coarse:H64-M16-F4:86	hmf_coarse	false	
b20:HMF:h159:m32	b20	HMF	H64-M16-F4	159	32	1	b20:hmf_refine:H64-M16-F4:228	hmf_refine	false	
b20:HMF:h159:m40	b20	HMF	H64-M16-F4	159	40	1	b20:hmf_coarse:H64-M16-F4:87	hmf_coarse	false	
b20:HMF:h159:m55	b20	HMF	H64-M16-F4	159	55	1	b20:hmf_refine:H64-M16-F4:309	hmf_refine	false	
b20:HMF:h159:m57	b20	HMF	H64-M16-F4	159	57	1	b20:hmf_refine:H64-M16-F4:229	hmf_refine	false	
b20:HMF:h159:m60	b20	HMF	H64-M16-F4	159	60	1	b20:hmf_coarse:H64-M16-F4:88	hmf_coarse	false	
b20:HMF:h159:m61	b20	HMF	H64-M16-F4	159	61	1	b20:hmf_refine:H64-M16-F4:155	hmf_refine	false	
b20:HMF:h159:m69	b20	HMF	H64-M16-F4	159	69	1	b20:hmf_refine:H64-M16-F4:240	hmf_refine	false	
b20:HMF:h159:m80	b20	HMF	H64-M16-F4	159	80	2	b20:hmf_coarse:H64-M16-F4:89|b20:hmf_refine:H64-M16-F4:310	hmf_coarse|hmf_refine	false	
b20:HMF:h159:m82	b20	HMF	H64-M16-F4	159	82	1	b20:hmf_refine:H64-M16-F4:230	hmf_refine	false	
b20:HMF:h159:m86	b20	HMF	H64-M16-F4	159	86	1	b20:hmf_refine:H64-M16-F4:156	hmf_refine	false	
b20:HMF:h179:m69	b20	HMF	H64-M16-F4	179	69	1	b20:hmf_refine:H64-M16-F4:242	hmf_refine	false	
b20:HMF:h199:m1	b20	HMF	H64-M16-F4	199	1	1	b20:hmf_coarse:H64-M16-F4:106	hmf_coarse	false	
b20:HMF:h199:m19	b20	HMF	H64-M16-F4	199	19	1	b20:hmf_coarse:H64-M16-F4:107	hmf_coarse	false	
b20:HMF:h199:m32	b20	HMF	H64-M16-F4	199	32	1	b20:hmf_refine:H64-M16-F4:231	hmf_refine	false	
b20:HMF:h199:m38	b20	HMF	H64-M16-F4	199	38	1	b20:hmf_coarse:H64-M16-F4:108	hmf_coarse	false	
b20:HMF:h199:m55	b20	HMF	H64-M16-F4	199	55	1	b20:hmf_refine:H64-M16-F4:312	hmf_refine	false	
b20:HMF:h199:m57	b20	HMF	H64-M16-F4	199	57	2	b20:hmf_coarse:H64-M16-F4:109|b20:hmf_refine:H64-M16-F4:232	hmf_coarse|hmf_refine	false	
b20:HMF:h20:m124	b20	HMF	H64-M16-F4	20	124	1	b20:hmf_refine:H64-M16-F4:84	hmf_refine	false	
b20:HMF:h20:m128	b20	HMF	H64-M16-F4	20	128	1	b20:hmf_refine:H64-M16-F4:7	hmf_refine	false	
b20:HMF:h20:m137	b20	HMF	H64-M16-F4	20	137	1	b20:hmf_refine:H64-M16-F4:85	hmf_refine	false	
b20:HMF:h20:m141	b20	HMF	H64-M16-F4	20	141	1	b20:hmf_refine:H64-M16-F4:8	hmf_refine	false	
b20:HMF:h20:m150	b20	HMF	H64-M16-F4	20	150	1	b20:hmf_refine:H64-M16-F4:86	hmf_refine	false	
b20:HMF:h20:m154	b20	HMF	H64-M16-F4	20	154	1	b20:hmf_refine:H64-M16-F4:9	hmf_refine	false	
b20:HMF:h239:m1	b20	HMF	H64-M16-F4	239	1	1	b20:hmf_coarse:H64-M16-F4:127	hmf_coarse	false	
b20:HMF:h239:m18	b20	HMF	H64-M16-F4	239	18	1	b20:hmf_coarse:H64-M16-F4:128	hmf_coarse	false	
b20:HMF:h239:m32	b20	HMF	H64-M16-F4	239	32	1	b20:hmf_refine:H64-M16-F4:234	hmf_refine	false	
b20:HMF:h239:m36	b20	HMF	H64-M16-F4	239	36	1	b20:hmf_coarse:H64-M16-F4:129	hmf_coarse	false	
b20:HMF:h239:m54	b20	HMF	H64-M16-F4	239	54	1	b20:hmf_coarse:H64-M16-F4:130	hmf_coarse	false	
b20:HMF:h239:m57	b20	HMF	H64-M16-F4	239	57	1	b20:hmf_refine:H64-M16-F4:235	hmf_refine	false	
b20:HMF:h278:m1	b20	HMF	H64-M16-F4	278	1	1	b20:hmf_coarse:H64-M16-F4:148	hmf_coarse	false	
b20:HMF:h278:m17	b20	HMF	H64-M16-F4	278	17	1	b20:hmf_coarse:H64-M16-F4:149	hmf_coarse	false	
b20:HMF:h278:m34	b20	HMF	H64-M16-F4	278	34	1	b20:hmf_coarse:H64-M16-F4:150	hmf_coarse	false	
b20:HMF:h30:m130	b20	HMF	H64-M16-F4	30	130	1	b20:hmf_refine:H64-M16-F4:91	hmf_refine	false	
b20:HMF:h30:m137	b20	HMF	H64-M16-F4	30	137	1	b20:hmf_refine:H64-M16-F4:92	hmf_refine	false	
b20:HMF:h30:m144	b20	HMF	H64-M16-F4	30	144	1	b20:hmf_refine:H64-M16-F4:93	hmf_refine	false	
b20:HMF:h318:m1	b20	HMF	H64-M16-F4	318	1	1	b20:hmf_coarse:H64-M16-F4:169	hmf_coarse	false	
b20:HMF:h318:m17	b20	HMF	H64-M16-F4	318	17	1	b20:hmf_coarse:H64-M16-F4:170	hmf_coarse	false	
b20:HMF:h358:m1	b20	HMF	H64-M16-F4	358	1	1	b20:hmf_coarse:H64-M16-F4:190	hmf_coarse	false	
b20:HMF:h358:m16	b20	HMF	H64-M16-F4	358	16	1	b20:hmf_coarse:H64-M16-F4:191	hmf_coarse	false	
b20:HMF:h36:m126	b20	HMF	H64-M16-F4	36	126	1	b20:hmf_refine:H64-M16-F4:126	hmf_refine	false	
b20:HMF:h36:m131	b20	HMF	H64-M16-F4	36	131	1	b20:hmf_refine:H64-M16-F4:127	hmf_refine	false	
b20:HMF:h36:m136	b20	HMF	H64-M16-F4	36	136	1	b20:hmf_refine:H64-M16-F4:128	hmf_refine	false	
b20:HMF:h36:m141	b20	HMF	H64-M16-F4	36	141	1	b20:hmf_refine:H64-M16-F4:129	hmf_refine	false	
b20:HMF:h36:m146	b20	HMF	H64-M16-F4	36	146	1	b20:hmf_refine:H64-M16-F4:130	hmf_refine	false	
b20:HMF:h398:m1	b20	HMF	H64-M16-F4	398	1	1	b20:hmf_coarse:H64-M16-F4:211	hmf_coarse	false	
b20:HMF:h398:m15	b20	HMF	H64-M16-F4	398	15	1	b20:hmf_coarse:H64-M16-F4:212	hmf_coarse	false	
b20:HMF:h40:m1	b20	HMF	H64-M16-F4	40	1	1	b20:hmf_coarse:H64-M16-F4:22	hmf_coarse	false	
b20:HMF:h40:m112	b20	HMF	H64-M16-F4	40	112	1	b20:hmf_refine:H64-M16-F4:76	hmf_refine	false	
b20:HMF:h40:m116	b20	HMF	H64-M16-F4	40	116	1	b20:hmf_refine:H64-M16-F4:1	hmf_refine	false	
b20:HMF:h40:m118	b20	HMF	H64-M16-F4	40	118	1	b20:hmf_coarse:H64-M16-F4:27	hmf_coarse	false	
b20:HMF:h40:m124	b20	HMF	H64-M16-F4	40	124	1	b20:hmf_refine:H64-M16-F4:87	hmf_refine	false	
b20:HMF:h40:m128	b20	HMF	H64-M16-F4	40	128	1	b20:hmf_refine:H64-M16-F4:10	hmf_refine	false	
b20:HMF:h40:m130	b20	HMF	H64-M16-F4	40	130	1	b20:hmf_refine:H64-M16-F4:94	hmf_refine	false	
b20:HMF:h40:m137	b20	HMF	H64-M16-F4	40	137	1	b20:hmf_refine:H64-M16-F4:77	hmf_refine	false	
b20:HMF:h40:m141	b20	HMF	H64-M16-F4	40	141	2	b20:hmf_coarse:H64-M16-F4:28|b20:hmf_refine:H64-M16-F4:2	hmf_coarse|hmf_refine	false	
b20:HMF:h40:m144	b20	HMF	H64-M16-F4	40	144	1	b20:hmf_refine:H64-M16-F4:95	hmf_refine	false	
b20:HMF:h40:m24	b20	HMF	H64-M16-F4	40	24	1	b20:hmf_coarse:H64-M16-F4:23	hmf_coarse	false	
b20:HMF:h40:m47	b20	HMF	H64-M16-F4	40	47	1	b20:hmf_coarse:H64-M16-F4:24	hmf_coarse	false	
b20:HMF:h40:m71	b20	HMF	H64-M16-F4	40	71	1	b20:hmf_coarse:H64-M16-F4:25	hmf_coarse	false	
b20:HMF:h40:m87	b20	HMF	H64-M16-F4	40	87	1	b20:hmf_refine:H64-M16-F4:75	hmf_refine	false	
b20:HMF:h40:m94	b20	HMF	H64-M16-F4	40	94	1	b20:hmf_coarse:H64-M16-F4:26	hmf_coarse	false	
b20:HMF:h41:m126	b20	HMF	H64-M16-F4	41	126	1	b20:hmf_refine:H64-M16-F4:131	hmf_refine	false	
b20:HMF:h41:m131	b20	HMF	H64-M16-F4	41	131	1	b20:hmf_refine:H64-M16-F4:132	hmf_refine	false	
b20:HMF:h41:m136	b20	HMF	H64-M16-F4	41	136	1	b20:hmf_refine:H64-M16-F4:133	hmf_refine	false	
b20:HMF:h41:m141	b20	HMF	H64-M16-F4	41	141	1	b20:hmf_refine:H64-M16-F4:134	hmf_refine	false	
b20:HMF:h437:m1	b20	HMF	H64-M16-F4	437	1	1	b20:hmf_coarse:H64-M16-F4:232	hmf_coarse	false	
b20:HMF:h437:m14	b20	HMF	H64-M16-F4	437	14	1	b20:hmf_coarse:H64-M16-F4:233	hmf_coarse	false	
b20:HMF:h45:m115	b20	HMF	H64-M16-F4	45	115	1	b20:hmf_refine:H64-M16-F4:53	hmf_refine	false	
b20:HMF:h45:m120	b20	HMF	H64-M16-F4	45	120	1	b20:hmf_refine:H64-M16-F4:54	hmf_refine	false	
b20:HMF:h45:m125	b20	HMF	H64-M16-F4	45	125	1	b20:hmf_refine:H64-M16-F4:55	hmf_refine	false	
b20:HMF:h45:m130	b20	HMF	H64-M16-F4	45	130	1	b20:hmf_refine:H64-M16-F4:56	hmf_refine	false	
b20:HMF:h45:m133	b20	HMF	H64-M16-F4	45	133	1	b20:hmf_refine:H64-M16-F4:98	hmf_refine	false	
b20:HMF:h45:m135	b20	HMF	H64-M16-F4	45	135	1	b20:hmf_refine:H64-M16-F4:57	hmf_refine	false	
b20:HMF:h45:m136	b20	HMF	H64-M16-F4	45	136	1	b20:hmf_refine:H64-M16-F4:113	hmf_refine	false	
b20:HMF:h45:m137	b20	HMF	H64-M16-F4	45	137	1	b20:hmf_refine:H64-M16-F4:99	hmf_refine	false	
b20:HMF:h45:m138	b20	HMF	H64-M16-F4	45	138	1	b20:hmf_refine:H64-M16-F4:114	hmf_refine	false	
b20:HMF:h45:m141	b20	HMF	H64-M16-F4	45	141	1	b20:hmf_refine:H64-M16-F4:100	hmf_refine	false	
b20:HMF:h46:m126	b20	HMF	H64-M16-F4	46	126	1	b20:hmf_refine:H64-M16-F4:136	hmf_refine	false	
b20:HMF:h46:m131	b20	HMF	H64-M16-F4	46	131	1	b20:hmf_refine:H64-M16-F4:137	hmf_refine	false	
b20:HMF:h46:m135	b20	HMF	H64-M16-F4	46	135	1	b20:hmf_refine:H64-M16-F4:120	hmf_refine	false	
b20:HMF:h46:m136	b20	HMF	H64-M16-F4	46	136	1	b20:hmf_refine:H64-M16-F4:121	hmf_refine	false	
b20:HMF:h46:m137	b20	HMF	H64-M16-F4	46	137	1	b20:hmf_refine:H64-M16-F4:122	hmf_refine	false	
b20:HMF:h47:m135	b20	HMF	H64-M16-F4	47	135	1	b20:hmf_refine:H64-M16-F4:106	hmf_refine	false	
b20:HMF:h47:m136	b20	HMF	H64-M16-F4	47	136	1	b20:hmf_refine:H64-M16-F4:115	hmf_refine	false	
b20:HMF:h47:m137	b20	HMF	H64-M16-F4	47	137	1	b20:hmf_refine:H64-M16-F4:107	hmf_refine	false	
b20:HMF:h477:m1	b20	HMF	H64-M16-F4	477	1	1	b20:hmf_coarse:H64-M16-F4:253	hmf_coarse	false	
b20:HMF:h48:m135	b20	HMF	H64-M16-F4	48	135	1	b20:hmf_refine:H64-M16-F4:123	hmf_refine	false	
b20:HMF:h48:m136	b20	HMF	H64-M16-F4	48	136	1	b20:hmf_refine:H64-M16-F4:124	hmf_refine	false	
b20:HMF:h48:m137	b20	HMF	H64-M16-F4	48	137	1	b20:hmf_refine:H64-M16-F4:125	hmf_refine	false	
b20:HMF:h49:m136	b20	HMF	H64-M16-F4	49	136	1	b20:hmf_refine:H64-M16-F4:117	hmf_refine	false	
b20:HMF:h49:m137	b20	HMF	H64-M16-F4	49	137	1	b20:hmf_refine:H64-M16-F4:118	hmf_refine	false	
b20:HMF:h49:m138	b20	HMF	H64-M16-F4	49	138	1	b20:hmf_refine:H64-M16-F4:119	hmf_refine	false	
b20:HMF:h50:m115	b20	HMF	H64-M16-F4	50	115	1	b20:hmf_refine:H64-M16-F4:58	hmf_refine	false	
b20:HMF:h50:m120	b20	HMF	H64-M16-F4	50	120	1	b20:hmf_refine:H64-M16-F4:59	hmf_refine	false	
b20:HMF:h50:m121	b20	HMF	H64-M16-F4	50	121	1	b20:hmf_refine:H64-M16-F4:15	hmf_refine	false	
b20:HMF:h50:m125	b20	HMF	H64-M16-F4	50	125	1	b20:hmf_refine:H64-M16-F4:60	hmf_refine	false	
b20:HMF:h50:m128	b20	HMF	H64-M16-F4	50	128	1	b20:hmf_refine:H64-M16-F4:16	hmf_refine	false	
b20:HMF:h50:m130	b20	HMF	H64-M16-F4	50	130	1	b20:hmf_refine:H64-M16-F4:61	hmf_refine	false	
b20:HMF:h50:m133	b20	HMF	H64-M16-F4	50	133	1	b20:hmf_refine:H64-M16-F4:101	hmf_refine	false	
b20:HMF:h50:m135	b20	HMF	H64-M16-F4	50	135	1	b20:hmf_refine:H64-M16-F4:17	hmf_refine	false	
b20:HMF:h50:m137	b20	HMF	H64-M16-F4	50	137	1	b20:hmf_refine:H64-M16-F4:96	hmf_refine	false	
b20:HMF:h50:m139	b20	HMF	H64-M16-F4	50	139	1	b20:hmf_refine:H64-M16-F4:109	hmf_refine	false	
b20:HMF:h50:m141	b20	HMF	H64-M16-F4	50	141	1	b20:hmf_refine:H64-M16-F4:102	hmf_refine	false	
b20:HMF:h51:m126	b20	HMF	H64-M16-F4	51	126	1	b20:hmf_refine:H64-M16-F4:140	hmf_refine	false	
b20:HMF:h51:m131	b20	HMF	H64-M16-F4	51	131	1	b20:hmf_refine:H64-M16-F4:141	hmf_refine	false	
b20:HMF:h51:m136	b20	HMF	H64-M16-F4	51	136	1	b20:hmf_refine:H64-M16-F4:142	hmf_refine	false	
b20:HMF:h51:m141	b20	HMF	H64-M16-F4	51	141	1	b20:hmf_refine:H64-M16-F4:143	hmf_refine	false	
b20:HMF:h517:m1	b20	HMF	H64-M16-F4	517	1	1	b20:hmf_coarse:H64-M16-F4:274	hmf_coarse	false	
b20:HMF:h52:m122	b20	HMF	H64-M16-F4	52	122	1	b20:hmf_refine:H64-M16-F4:31	hmf_refine	false	
b20:HMF:h52:m124	b20	HMF	H64-M16-F4	52	124	1	b20:hmf_refine:H64-M16-F4:32	hmf_refine	false	
b20:HMF:h52:m126	b20	HMF	H64-M16-F4	52	126	1	b20:hmf_refine:H64-M16-F4:33	hmf_refine	false	
b20:HMF:h53:m123	b20	HMF	H64-M16-F4	53	123	1	b20:hmf_refine:H64-M16-F4:39	hmf_refine	false	
b20:HMF:h53:m124	b20	HMF	H64-M16-F4	53	124	1	b20:hmf_refine:H64-M16-F4:40	hmf_refine	false	
b20:HMF:h53:m125	b20	HMF	H64-M16-F4	53	125	1	b20:hmf_refine:H64-M16-F4:41	hmf_refine	false	
b20:HMF:h53:m135	b20	HMF	H64-M16-F4	53	135	1	b20:hmf_refine:H64-M16-F4:110	hmf_refine	false	
b20:HMF:h54:m124	b20	HMF	H64-M16-F4	54	124	1	b20:hmf_refine:H64-M16-F4:47	hmf_refine	false	
b20:HMF:h54:m125	b20	HMF	H64-M16-F4	54	125	1	b20:hmf_refine:H64-M16-F4:48	hmf_refine	false	
b20:HMF:h54:m126	b20	HMF	H64-M16-F4	54	126	1	b20:hmf_refine:H64-M16-F4:49	hmf_refine	false	
b20:HMF:h55:m115	b20	HMF	H64-M16-F4	55	115	1	b20:hmf_refine:H64-M16-F4:62	hmf_refine	false	
b20:HMF:h55:m120	b20	HMF	H64-M16-F4	55	120	1	b20:hmf_refine:H64-M16-F4:63	hmf_refine	false	
b20:HMF:h55:m122	b20	HMF	H64-M16-F4	55	122	1	b20:hmf_refine:H64-M16-F4:34	hmf_refine	false	
b20:HMF:h55:m123	b20	HMF	H64-M16-F4	55	123	1	b20:hmf_refine:H64-M16-F4:42	hmf_refine	false	
b20:HMF:h55:m124	b20	HMF	H64-M16-F4	55	124	1	b20:hmf_refine:H64-M16-F4:23	hmf_refine	false	
b20:HMF:h55:m125	b20	HMF	H64-M16-F4	55	125	1	b20:hmf_refine:H64-M16-F4:43	hmf_refine	false	
b20:HMF:h55:m126	b20	HMF	H64-M16-F4	55	126	1	b20:hmf_refine:H64-M16-F4:35	hmf_refine	false	
b20:HMF:h55:m128	b20	HMF	H64-M16-F4	55	128	1	b20:hmf_refine:H64-M16-F4:24	hmf_refine	false	
b20:HMF:h557:m1	b20	HMF	H64-M16-F4	557	1	1	b20:hmf_coarse:H64-M16-F4:295	hmf_coarse	false	
b20:HMF:h56:m124	b20	HMF	H64-M16-F4	56	124	1	b20:hmf_refine:H64-M16-F4:50	hmf_refine	false	
b20:HMF:h56:m125	b20	HMF	H64-M16-F4	56	125	1	b20:hmf_refine:H64-M16-F4:51	hmf_refine	false	
b20:HMF:h56:m126	b20	HMF	H64-M16-F4	56	126	1	b20:hmf_refine:H64-M16-F4:52	hmf_refine	false	
b20:HMF:h56:m131	b20	HMF	H64-M16-F4	56	131	1	b20:hmf_refine:H64-M16-F4:145	hmf_refine	false	
b20:HMF:h57:m123	b20	HMF	H64-M16-F4	57	123	1	b20:hmf_refine:H64-M16-F4:44	hmf_refine	false	
b20:HMF:h57:m124	b20	HMF	H64-M16-F4	57	124	1	b20:hmf_refine:H64-M16-F4:45	hmf_refine	false	
b20:HMF:h57:m125	b20	HMF	H64-M16-F4	57	125	1	b20:hmf_refine:H64-M16-F4:46	hmf_refine	false	
b20:HMF:h58:m122	b20	HMF	H64-M16-F4	58	122	1	b20:hmf_refine:H64-M16-F4:36	hmf_refine	false	
b20:HMF:h58:m124	b20	HMF	H64-M16-F4	58	124	1	b20:hmf_refine:H64-M16-F4:37	hmf_refine	false	
b20:HMF:h58:m126	b20	HMF	H64-M16-F4	58	126	1	b20:hmf_refine:H64-M16-F4:38	hmf_refine	false	
b20:HMF:h59:m73	b20	HMF	H64-M16-F4	59	73	1	b20:hmf_refine:H64-M16-F4:158	hmf_refine	false	
b20:HMF:h59:m86	b20	HMF	H64-M16-F4	59	86	1	b20:hmf_refine:H64-M16-F4:159	hmf_refine	false	
b20:HMF:h59:m99	b20	HMF	H64-M16-F4	59	99	1	b20:hmf_refine:H64-M16-F4:160	hmf_refine	false	
b20:HMF:h596:m1	b20	HMF	H64-M16-F4	596	1	1	b20:hmf_coarse:H64-M16-F4:316	hmf_coarse	false	
b20:HMF:h60:m115	b20	HMF	H64-M16-F4	60	115	1	b20:hmf_refine:H64-M16-F4:66	hmf_refine	false	
b20:HMF:h60:m120	b20	HMF	H64-M16-F4	60	120	1	b20:hmf_refine:H64-M16-F4:67	hmf_refine	false	
b20:HMF:h60:m121	b20	HMF	H64-M16-F4	60	121	1	b20:hmf_refine:H64-M16-F4:18	hmf_refine	false	
b20:HMF:h60:m124	b20	HMF	H64-M16-F4	60	124	1	b20:hmf_refine:H64-M16-F4:26	hmf_refine	false	
b20:HMF:h60:m125	b20	HMF	H64-M16-F4	60	125	1	b20:hmf_refine:H64-M16-F4:68	hmf_refine	false	
b20:HMF:h60:m128	b20	HMF	H64-M16-F4	60	128	1	b20:hmf_refine:H64-M16-F4:12	hmf_refine	false	
b20:HMF:h60:m130	b20	HMF	H64-M16-F4	60	130	1	b20:hmf_refine:H64-M16-F4:69	hmf_refine	false	
b20:HMF:h60:m132	b20	HMF	H64-M16-F4	60	132	1	b20:hmf_refine:H64-M16-F4:27	hmf_refine	false	
b20:HMF:h636:m1	b20	HMF	H64-M16-F4	636	1	1	b20:hmf_coarse:H64-M16-F4:337	hmf_coarse	false	
b20:HMF:h65:m115	b20	HMF	H64-M16-F4	65	115	1	b20:hmf_refine:H64-M16-F4:70	hmf_refine	false	
b20:HMF:h65:m120	b20	HMF	H64-M16-F4	65	120	1	b20:hmf_refine:H64-M16-F4:71	hmf_refine	false	
b20:HMF:h65:m124	b20	HMF	H64-M16-F4	65	124	1	b20:hmf_refine:H64-M16-F4:28	hmf_refine	false	
b20:HMF:h65:m125	b20	HMF	H64-M16-F4	65	125	1	b20:hmf_refine:H64-M16-F4:72	hmf_refine	false	
b20:HMF:h65:m128	b20	HMF	H64-M16-F4	65	128	1	b20:hmf_refine:H64-M16-F4:29	hmf_refine	false	
b20:HMF:h65:m130	b20	HMF	H64-M16-F4	65	130	1	b20:hmf_refine:H64-M16-F4:73	hmf_refine	false	
b20:HMF:h65:m132	b20	HMF	H64-M16-F4	65	132	1	b20:hmf_refine:H64-M16-F4:30	hmf_refine	false	
b20:HMF:h676:m1	b20	HMF	H64-M16-F4	676	1	1	b20:hmf_coarse:H64-M16-F4:358	hmf_coarse	false	
b20:HMF:h69:m106	b20	HMF	H64-M16-F4	69	106	1	b20:hmf_refine:H64-M16-F4:168	hmf_refine	false	
b20:HMF:h69:m92	b20	HMF	H64-M16-F4	69	92	1	b20:hmf_refine:H64-M16-F4:166	hmf_refine	false	
b20:HMF:h69:m99	b20	HMF	H64-M16-F4	69	99	1	b20:hmf_refine:H64-M16-F4:167	hmf_refine	false	
b20:HMF:h716:m1	b20	HMF	H64-M16-F4	716	1	1	b20:hmf_coarse:H64-M16-F4:379	hmf_coarse	false	
b20:HMF:h755:m1	b20	HMF	H64-M16-F4	755	1	1	b20:hmf_coarse:H64-M16-F4:400	hmf_coarse	false	
b20:HMF:h79:m100	b20	HMF	H64-M16-F4	79	100	1	b20:hmf_refine:H64-M16-F4:207	hmf_refine	false	
b20:HMF:h79:m105	b20	HMF	H64-M16-F4	79	105	1	b20:hmf_refine:H64-M16-F4:208	hmf_refine	false	
b20:HMF:h79:m106	b20	HMF	H64-M16-F4	79	106	1	b20:hmf_refine:H64-M16-F4:170	hmf_refine	false	
b20:HMF:h79:m61	b20	HMF	H64-M16-F4	79	61	1	b20:hmf_refine:H64-M16-F4:149	hmf_refine	false	
b20:HMF:h79:m73	b20	HMF	H64-M16-F4	79	73	1	b20:hmf_refine:H64-M16-F4:161	hmf_refine	false	
b20:HMF:h79:m85	b20	HMF	H64-M16-F4	79	85	1	b20:hmf_refine:H64-M16-F4:204	hmf_refine	false	
b20:HMF:h79:m86	b20	HMF	H64-M16-F4	79	86	1	b20:hmf_refine:H64-M16-F4:150	hmf_refine	false	
b20:HMF:h79:m90	b20	HMF	H64-M16-F4	79	90	1	b20:hmf_refine:H64-M16-F4:205	hmf_refine	false	
b20:HMF:h79:m92	b20	HMF	H64-M16-F4	79	92	1	b20:hmf_refine:H64-M16-F4:169	hmf_refine	false	
b20:HMF:h79:m95	b20	HMF	H64-M16-F4	79	95	1	b20:hmf_refine:H64-M16-F4:206	hmf_refine	false	
b20:HMF:h79:m99	b20	HMF	H64-M16-F4	79	99	1	b20:hmf_refine:H64-M16-F4:162	hmf_refine	false	
b20:HMF:h795:m1	b20	HMF	H64-M16-F4	795	1	1	b20:hmf_coarse:H64-M16-F4:421	hmf_coarse	false	
b20:HMF:h80:m1	b20	HMF	H64-M16-F4	80	1	1	b20:hmf_coarse:H64-M16-F4:43	hmf_coarse	false	
b20:HMF:h80:m112	b20	HMF	H64-M16-F4	80	112	2	b20:hmf_coarse:H64-M16-F4:48|b20:hmf_refine:H64-M16-F4:79	hmf_coarse|hmf_refine	false	
b20:HMF:h80:m116	b20	HMF	H64-M16-F4	80	116	1	b20:hmf_refine:H64-M16-F4:4	hmf_refine	false	
b20:HMF:h80:m22	b20	HMF	H64-M16-F4	80	22	1	b20:hmf_coarse:H64-M16-F4:44	hmf_coarse	false	
b20:HMF:h80:m45	b20	HMF	H64-M16-F4	80	45	1	b20:hmf_coarse:H64-M16-F4:45	hmf_coarse	false	
b20:HMF:h80:m67	b20	HMF	H64-M16-F4	80	67	1	b20:hmf_coarse:H64-M16-F4:46	hmf_coarse	false	
b20:HMF:h80:m87	b20	HMF	H64-M16-F4	80	87	1	b20:hmf_refine:H64-M16-F4:78	hmf_refine	false	
b20:HMF:h80:m90	b20	HMF	H64-M16-F4	80	90	1	b20:hmf_coarse:H64-M16-F4:47	hmf_coarse	false	
b20:HMF:h84:m100	b20	HMF	H64-M16-F4	84	100	1	b20:hmf_refine:H64-M16-F4:212	hmf_refine	false	
b20:HMF:h84:m102	b20	HMF	H64-M16-F4	84	102	1	b20:hmf_refine:H64-M16-F4:330	hmf_refine	false	
b20:HMF:h84:m105	b20	HMF	H64-M16-F4	84	105	1	b20:hmf_refine:H64-M16-F4:213	hmf_refine	false	
b20:HMF:h84:m85	b20	HMF	H64-M16-F4	84	85	1	b20:hmf_refine:H64-M16-F4:209	hmf_refine	false	
